inci_no,descript,alm_date,alm_time,station,clr_date,clr_time,alarms,LastUpdateDate,StartDate,EndDate,Elapsed Time (Days),Elapsed Time (Hours),Elapsed Time (Minutes),Elapsed Time (Seconds)
19-0005466,Building fire,2/8/2019,8:45:58,22,2/8/2019,10:05:16,1,05/12/2020 10:51:51,02/08/2019 8:45:58,02/08/2019 10:05:16,0.055,1.322,79.300,4758.000
19-0005545,Building fire,2/8/2019,19:58:25,20,2/8/2019,22:31:13,1,05/12/2020 10:51:51,02/08/2019 19:58:25,02/08/2019 22:31:13,0.106,2.547,152.800,9168.000
19-0005615,Dumpster or other outside trash receptacle fire,2/9/2019,9:46:03,8,2/9/2019,10:22:03,1,05/12/2020 10:51:51,02/09/2019 9:46:03,02/09/2019 10:22:03,0.025,0.600,36.000,2160.000
19-0005631,Passenger vehicle fire,2/9/2019,12:10:31,8,2/9/2019,12:58:14,1,05/12/2020 10:51:51,02/09/2019 12:10:31,02/09/2019 12:58:14,0.033,0.795,47.717,2863.000
19-0005634,Passenger vehicle fire,2/9/2019,12:36:13,8,2/9/2019,13:30:01,1,05/12/2020 10:51:51,02/09/2019 12:36:13,02/09/2019 13:30:01,0.037,0.897,53.800,3228.000
19-0005664,"Cooking fire, confined to container",2/9/2019,17:36:07,7,2/9/2019,17:47:49,1,05/12/2020 10:51:51,02/09/2019 17:36:07,02/09/2019 17:47:49,0.008,0.195,11.700,702.000
19-0005698,"Outside rubbish, trash or waste fire",2/9/2019,20:53:34,1,2/9/2019,21:01:48,1,05/12/2020 10:51:51,02/09/2019 20:53:34,02/09/2019 21:01:48,0.006,0.137,8.233,494.000
19-0005864,Passenger vehicle fire,2/10/2019,22:31:11,27,2/10/2019,22:52:02,1,05/12/2020 10:51:51,02/10/2019 22:31:11,02/10/2019 22:52:02,0.014,0.347,20.850,1251.000
19-0005872,Passenger vehicle fire,2/10/2019,23:20:50,17,2/10/2019,23:36:00,1,05/12/2020 10:51:51,02/10/2019 23:20:50,2/10/2019 23:36,0.011,0.253,15.167,910.000
19-0005899,Self-propelled motor home or recreational vehicle,2/11/2019,9:15:29,14,2/11/2019,10:40:34,1,05/12/2020 10:51:51,02/11/2019 9:15:29,02/11/2019 10:40:34,0.059,1.418,85.083,5105.000
19-0005978,"Cooking fire, confined to container",2/11/2019,20:04:00,20,2/11/2019,20:14:59,1,05/12/2020 10:51:51,2/11/2019 20:04,02/11/2019 20:14:59,0.008,0.183,10.983,659.000
19-0006089,"Excessive heat, scorch burns with no ignition",2/12/2019,15:43:34,4,2/12/2019,16:12:12,1,05/12/2020 10:51:51,02/12/2019 15:43:34,02/12/2019 16:12:12,0.020,0.477,28.633,1718.000
19-0006103,Passenger vehicle fire,2/12/2019,18:32:56,11,2/12/2019,19:08:26,1,05/12/2020 10:51:51,02/12/2019 18:32:56,02/12/2019 19:08:26,0.025,0.592,35.500,2130.000
19-0006136,Passenger vehicle fire,2/13/2019,0:43:15,17,2/13/2019,2:00:36,1,05/12/2020 10:51:51,02/13/2019 0:43:15,02/13/2019 2:00:36,0.054,1.289,77.350,4641.000
19-0006190,"Cooking fire, confined to container",2/13/2019,10:24:48,6,2/13/2019,11:24:06,1,05/12/2020 10:51:51,02/13/2019 10:24:48,02/13/2019 11:24:06,0.041,0.988,59.300,3558.000
19-0006246,Passenger vehicle fire,2/13/2019,18:23:33,1,2/13/2019,18:35:48,1,05/12/2020 10:51:51,02/13/2019 18:23:33,02/13/2019 18:35:48,0.009,0.204,12.250,735.000
19-0006257,Dumpster or other outside trash receptacle fire,2/13/2019,20:16:47,1,2/13/2019,21:02:34,1,05/12/2020 10:51:51,02/13/2019 20:16:47,02/13/2019 21:02:34,0.032,0.763,45.783,2747.000
19-0006298,Passenger vehicle fire,2/14/2019,4:10:48,20,2/14/2019,5:23:37,1,05/12/2020 10:51:51,02/14/2019 4:10:48,02/14/2019 5:23:37,0.051,1.214,72.817,4369.000
19-0006355,"Trash or rubbish fire, contained",2/14/2019,13:02:53,8,2/14/2019,13:11:45,1,05/12/2020 10:51:51,02/14/2019 13:02:53,02/14/2019 13:11:45,0.006,0.148,8.867,532.000
19-0006376,"Cooking fire, confined to container",2/14/2019,14:48:14,15,2/14/2019,15:01:41,1,05/12/2020 10:51:51,02/14/2019 14:48:14,02/14/2019 15:01:41,0.009,0.224,13.450,807.000
